"응답자특성별(1)","응답자특성별(2)",시점,전체,전체,전체,남학생,남학생,남학생,여학생,여학생,여학생
"응답자특성별(1)","응답자특성별(2)",시점,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차,분석대상자수 (명),흡연율 (%),표준오차
"지역별","전남",2022,2158,6.3,0.9,1082,8.1,1.2,1076,4.5,0.9
"지역별","전남",2023,2223,5.7,0.8,1025,7.8,1.3,1198,3.5,0.6
"지역별","경북",2014,3765,11.3,1.6,1994,16.8,2.3,1771,5.0,1.2
"지역별","경북",2015,3557,7.5,1.5,1871,12.8,2.3,1686,1.5,0.4
"지역별","경북",2016,3335,7.1,1.1,1689,11.7,1.6,1646,1.8,0.6
"지역별","경북",2017,3112,7.6,0.9,1672,10.9,1.2,1440,3.8,1.1
"지역별","경북",2018,3064,8.0,1.3,1537,11.9,1.8,1527,3.6,0.7
"지역별","경북",2019,3006,6.2,0.7,1480,9.1,0.9,1526,3.0,0.6
"지역별","경북",2020,2905,5.9,0.9,1509,8.1,1.6,1396,3.4,0.6
"지역별","경북",2021,2889,4.0,0.7,1451,5.6,1.0,1438,2.2,0.5
"지역별","경북",2022,2740,5.4,1.0,1333,7.9,1.6,1407,2.6,0.8
"지역별","경북",2023,2704,5.0,0.7,1410,6.8,0.9,1294,3.0,0.6
"지역별","경남",2014,4737,9.4,1.2,2414,15.4,1.7,2323,2.7,0.5
"지역별","경남",2015,4581,7.0,1.2,2451,11.1,1.5,2130,2.4,0.6
"지역별","경남",2016,4132,7.2,1.0,2167,11.9,1.3,1965,2.1,0.5
"지역별","경남",2017,4067,5.5,0.8,2212,8.6,1.1,1855,2.0,0.5
"지역별","경남",2018,3884,6.9,0.8,1982,10.1,1.4,1902,3.3,0.5
"지역별","경남",2019,3475,6.7,1.1,1865,10.9,1.7,1610,2.0,0.4
"지역별","경남",2020,3668,4.8,0.7,1837,6.9,1.1,1831,2.6,0.6
"지역별","경남",2021,3642,4.6,0.5,2051,5.9,0.7,1591,3.3,0.6
"지역별","경남",2022,3420,4.8,0.6,1680,7.1,1.0,1740,2.2,0.4
"지역별","경남",2023,3495,3.6,0.5,1740,5.4,0.8,1755,1.8,0.3
"지역별","제주",2014,1664,8.6,1.5,1015,10.9,1.8,649,6.1,1.7
"지역별","제주",2015,1597,8.6,1.5,864,14.2,1.9,733,2.5,0.9
"지역별","제주",2016,1478,5.7,1.3,816,9.9,1.4,662,1.0,0.4
"지역별","제주",2017,1476,5.0,1.0,746,7.5,1.3,730,2.4,0.9
"지역별","제주",2018,1452,6.0,1.3,896,8.4,1.7,556,3.4,0.7
"지역별","제주",2019,1283,5.9,0.9,697,7.8,1.4,586,3.8,1.0
"지역별","제주",2020,1396,4.7,0.7,692,6.3,1.3,704,2.9,0.6
"지역별","제주",2021,1375,4.3,0.8,828,5.3,1.1,547,3.1,0.7
"지역별","제주",2022,1310,4.1,1.1,672,5.9,1.6,638,2.3,0.5
"지역별","제주",2023,1258,5.9,0.8,795,7.0,1.1,463,4.7,1.1
