"응답자특성별(1)","응답자특성별(2)","시점",성별(1),분석대상자수 (명),흡연율 (%),표준오차
"학년별","고1","2015",전체,11122,9.1,0.5
"학년별","고1","2015",남학생,5785,13.8,0.6
"학년별","고1","2015",여학생,5337,3.9,0.4
"학년별","고1","2016",전체,11355,7.1,0.4
"학년별","고1","2016",남학생,5861,11.0,0.6
"학년별","고1","2016",여학생,5494,2.9,0.3
"학년별","고1","2017",전체,10165,7.0,0.4
"학년별","고1","2017",남학생,5069,10.4,0.6
"학년별","고1","2017",여학생,5096,3.3,0.3
"학년별","고1","2018",전체,9260,7.7,0.4
"학년별","고1","2018",남학생,4805,10.7,0.6
"학년별","고1","2018",여학생,4455,4.4,0.4
"학년별","고1","2019",전체,9273,8.3,0.4
"학년별","고1","2019",남학생,4782,11.1,0.6
"학년별","고1","2019",여학생,4491,5.3,0.5
"학년별","고1","2020",전체,8907,4.8,0.3
"학년별","고1","2020",남학생,4602,6.9,0.5
"학년별","고1","2020",여학생,4305,2.6,0.3
"학년별","고1","2021",전체,8461,5.4,0.3
"학년별","고1","2021",남학생,4456,7.3,0.5
"학년별","고1","2021",여학생,4005,3.4,0.4
"학년별","고1","2022",전체,8461,5.1,0.3
"학년별","고1","2022",남학생,4236,7.0,0.4
"학년별","고1","2022",여학생,4225,3.0,0.3
"학년별","고1","2023",전체,9078,4.3,0.2
"학년별","고1","2023",남학생,4527,5.6,0.4
"학년별","고1","2023",여학생,4551,2.9,0.3
"학년별","고2","2014",전체,12152,13.5,0.6
"학년별","고2","2014",남학생,6009,21.0,0.8
"학년별","고2","2014",여학생,6143,5.5,0.4
"학년별","고2","2015",전체,11113,11.9,0.6
"학년별","고2","2015",남학생,5777,18.9,0.9
"학년별","고2","2015",여학생,5336,4.2,0.4
"학년별","고2","2016",전체,11070,9.4,0.5
"학년별","고2","2016",남학생,5744,14.1,0.7
"학년별","고2","2016",여학생,5326,4.3,0.4
"학년별","고2","2017",전체,10800,9.7,0.4
"학년별","고2","2017",남학생,5610,14.4,0.6
"학년별","고2","2017",여학생,5190,4.5,0.4
"학년별","고2","2018",전체,10039,9.4,0.4
"학년별","고2","2018",남학생,5110,13.2,0.6
"학년별","고2","2018",여학생,4929,5.2,0.4
"학년별","고2","2019",전체,9044,10.0,0.4
"학년별","고2","2019",남학생,4662,14.6,0.7
"학년별","고2","2019",여학생,4382,5.0,0.4
"학년별","고2","2020",전체,8907,7.2,0.4
"학년별","고2","2020",남학생,4631,10.0,0.6
"학년별","고2","2020",여학생,4276,4.2,0.4
"학년별","고2","2021",전체,8647,7.3,0.4
"학년별","고2","2021",남학생,4478,10.1,0.5
"학년별","고2","2021",여학생,4169,4.4,0.4
"학년별","고2","2022",전체,7982,7.1,0.4
"학년별","고2","2022",남학생,4164,10.2,0.6
"학년별","고2","2022",여학생,3818,3.7,0.4
"학년별","고2","2023",전체,8144,7.3,0.4
"학년별","고2","2023",남학생,4112,10.4,0.6
"학년별","고2","2023",여학생,4032,3.9,0.3
"학년별","고3","2014",전체,11928,15.7,0.6
"학년별","고3","2014",남학생,5850,24.5,0.8
"학년별","고3","2014",여학생,6078,5.9,0.4
"학년별","고3","2015",전체,11509,14.0,0.6
"학년별","고3","2015",남학생,5784,22.0,0.8
"학년별","고3","2015",여학생,5725,5.3,0.5
"학년별","고3","2016",전체,10884,12.0,0.6
"학년별","고3","2016",남학생,5456,19.1,0.7
"학년별","고3","2016",여학생,5428,4.3,0.4
"학년별","고3","2017",전체,10426,10.9,0.5
"학년별","고3","2017",남학생,5293,16.8,0.7
"학년별","고3","2017",여학생,5133,4.4,0.4
"학년별","고3","2018",전체,10512,12.0,0.5
"학년별","고3","2018",남학생,5220,17.7,0.8
"학년별","고3","2018",여학생,5292,5.7,0.4
"학년별","고3","2019",전체,9602,11.4,0.5
"학년별","고3","2019",남학생,4996,16.8,0.7
"학년별","고3","2019",여학생,4606,5.4,0.4
"학년별","고3","2020",전체,8173,9.2,0.5
"학년별","고3","2020",남학생,4290,13.3,0.7
"학년별","고3","2020",여학생,3883,4.6,0.5
"학년별","고3","2021",전체,7725,8.8,0.5
"학년별","고3","2021",남학생,3881,12.6,0.7
"학년별","고3","2021",여학생,3844,4.6,0.4
"학년별","고3","2022",전체,7392,9.2,0.5
"학년별","고3","2022",남학생,3814,13.8,0.8
"학년별","고3","2022",여학생,3578,4.1,0.4
"학년별","고3","2023",전체,7257,7.9,0.4
"학년별","고3","2023",남학생,3742,11.4,0.7
"학년별","고3","2023",여학생,3515,4.1,0.3
"학교급별","중학교","2014",전체,36156,4.7,0.2
"학교급별","중학교","2014",남학생,18563,6.8,0.2
"학교급별","중학교","2014",여학생,17593,2.3,0.1
"학교급별","중학교","2015",전체,34299,3.3,0.1
"학교급별","중학교","2015",남학생,17858,4.8,0.2
"학교급별","중학교","2015",여학생,16441,1.7,0.1
"학교급별","중학교","2016",전체,32219,2.5,0.1
"학교급별","중학교","2016",남학생,16742,3.5,0.2
"학교급별","중학교","2016",여학생,15477,1.3,0.1
"학교급별","중학교","2017",전체,30885,3.0,0.1
"학교급별","중학교","2017",남학생,15652,4.1,0.2
"학교급별","중학교","2017",여학생,15233,1.8,0.1
"학교급별","중학교","2018",전체,30229,3.0,0.2
"학교급별","중학교","2018",남학생,15328,3.9,0.2
"학교급별","중학교","2018",여학생,14901,2.1,0.2
"학교급별","중학교","2019",전체,29384,3.2,0.1
"학교급별","중학교","2019",남학생,15401,4.0,0.2
"학교급별","중학교","2019",여학생,13983,2.3,0.2
"학교급별","중학교","2020",전체,28961,1.7,0.1
"학교급별","중학교","2020",남학생,14830,1.9,0.1
"학교급별","중학교","2020",여학생,14131,1.5,0.1
"학교급별","중학교","2021",전체,30015,1.9,0.1
"학교급별","중학교","2021",남학생,15586,2.1,0.1
"학교급별","중학교","2021",여학생,14429,1.6,0.1
"학교급별","중학교","2022",전체,28015,2.1,0.1
"학교급별","중학교","2022",남학생,14183,2.3,0.1
"학교급별","중학교","2022",여학생,13832,1.8,0.1
"학교급별","중학교","2023",전체,28401,2.2,0.1
"학교급별","중학교","2023",남학생,14388,2.4,0.2
"학교급별","중학교","2023",여학생,14013,1.9,0.1
"학교급별","고등학교","2014",전체,35904,13.5,0.5
"학교급별","고등학교","2014",남학생,17907,20.8,0.6
"학교급별","고등학교","2014",여학생,17997,5.6,0.3
"학교급별","고등학교","2015",전체,33744,11.7,0.5
"학교급별","고등학교","2015",남학생,17346,18.3,0.6
"학교급별","고등학교","2015",여학생,16398,4.5,0.3
"학교급별","고등학교","2016",전체,33309,9.5,0.4
"학교급별","고등학교","2016",남학생,17061,14.7,0.5
"학교급별","고등학교","2016",여학생,16248,3.8,0.3
"학교급별","고등학교","2017",전체,31391,9.2,0.3
"학교급별","고등학교","2017",남학생,15972,13.9,0.4
"학교급별","고등학교","2017",여학생,15419,4.1,0.3
"학교급별","고등학교","2018",전체,29811,9.8,0.4
"학교급별","고등학교","2018",남학생,15135,14.1,0.5
"학교급별","고등학교","2018",여학생,14676,5.1,0.3
"학교급별","고등학교","2019",전체,27919,9.9,0.3
"학교급별","고등학교","2019",남학생,14440,14.2,0.4
"학교급별","고등학교","2019",여학생,13479,5.2,0.3
"학교급별","고등학교","2020",전체,25987,7.1,0.3
"학교급별","고등학교","2020",남학생,13523,10.1,0.4
"학교급별","고등학교","2020",여학생,12464,3.8,0.3
"학교급별","고등학교","2021",전체,24833,7.2,0.3
"학교급별","고등학교","2021",남학생,12815,10.0,0.4
